sampleID	referenceFasta
1020-A7	virus_refseq/1020-A7.fasta
1020-B6	virus_refseq/1020-B6.fasta
1020-C2	virus_refseq/1020-C2.fasta
1020-D1	virus_refseq/1020-D1.fasta
1020-D3	virus_refseq/1020-D3.fasta
1020-F-0818-D11	virus_refseq/1020-F-0818-D11.fasta
1020-F-0818-D4	virus_refseq/1020-F-0818-D4.fasta
1020-F1	virus_refseq/1020-F1.fasta
1020-F-31	virus_refseq/1020-F-31.fasta
1020-F-36	virus_refseq/1020-F-36.fasta
1020-F-40	virus_refseq/1020-F-40.fasta
1020-F-44	virus_refseq/1020-F-44.fasta
1020-F6	virus_refseq/1020-F6.fasta
1020-G3	virus_refseq/1020-G3.fasta
1020-M-0818-A10	virus_refseq/1020-M-0818-A10.fasta
1020-M-0818-A5	virus_refseq/1020-M-0818-A5.fasta
1020-M-0818-A7	virus_refseq/1020-M-0818-A7.fasta
1020-M-19	virus_refseq/1020-M-19.fasta
1020-M-8	virus_refseq/1020-M-8.fasta
1428-F-21	virus_refseq/1428-F-21.fasta
1428-F-8	virus_refseq/1428-F-8.fasta
1428-M-21	virus_refseq/1428-M-21.fasta
1428-M-3	virus_refseq/1428-M-3.fasta
1428-M-42	virus_refseq/1428-M-42.fasta
1428-M-4	virus_refseq/1428-M-4.fasta
1428-M-6	virus_refseq/1428-M-6.fasta
500-F-11	virus_refseq/500-F-11.fasta
500-F-21	virus_refseq/500-F-21.fasta
500-F-41	virus_refseq/500-F-41.fasta
500-F-67	virus_refseq/500-F-67.fasta
500-M-16	virus_refseq/500-M-16.fasta
500-M-17	virus_refseq/500-M-17.fasta
500-M-54	virus_refseq/500-M-54.fasta
500-M-57	virus_refseq/500-M-57.fasta
500-M-60	virus_refseq/500-M-60.fasta
500-M-61-2	virus_refseq/500-M-61-2.fasta
500-M-61	virus_refseq/500-M-61.fasta
500-M-65-2	virus_refseq/500-M-65-2.fasta
500-M-65	virus_refseq/500-M-65.fasta
500-M-71-2	virus_refseq/500-M-71-2.fasta
500-M-83	virus_refseq/500-M-83.fasta
500-M-84	virus_refseq/500-M-84.fasta
500-M-F10	virus_refseq/500-M-F10.fasta
500-M-F11	virus_refseq/500-M-F11.fasta
500-M-G2	virus_refseq/500-M-G2.fasta
Adobe-B4	virus_refseq/Adobe-B4.fasta
Adobe-B6	virus_refseq/Adobe-B6.fasta
Adobe-B8	virus_refseq/Adobe-B8.fasta
Adobe-C2	virus_refseq/Adobe-C2.fasta
Briarwood-D9	virus_refseq/Briarwood-D9.fasta
CVID-0825-B1	virus_refseq/CVID-0825-B1.fasta
CVID-0825-C10	virus_refseq/CVID-0825-C10.fasta
CVID-0911-F4	virus_refseq/CVID-0911-F4.fasta
CVID-1006-G6	virus_refseq/CVID-1006-G6.fasta
CVID-1006-G7	virus_refseq/CVID-1006-G7.fasta
CVID-1006-H2	virus_refseq/CVID-1006-H2.fasta
CVID-1006-H3	virus_refseq/CVID-1006-H3.fasta
James-A4	virus_refseq/James-A4.fasta
James-A5	virus_refseq/James-A5.fasta
ME-F-1	virus_refseq/ME-F-1.fasta
ME-F-2	virus_refseq/ME-F-2.fasta
ME-F-3	virus_refseq/ME-F-3.fasta
ME-F-9	virus_refseq/ME-F-9.fasta
mel-20-TD-3	virus_refseq/mel-20-TD-3.fasta
mel-21-MDS-9	virus_refseq/mel-21-MDS-9.fasta
ME-M-10	virus_refseq/ME-M-10.fasta
ME-M-11	virus_refseq/ME-M-11.fasta
ME-M-14	virus_refseq/ME-M-14.fasta
ME-M-17	virus_refseq/ME-M-17.fasta
ME-M-18	virus_refseq/ME-M-18.fasta
ME-M-19	virus_refseq/ME-M-19.fasta
ME-M-1	virus_refseq/ME-M-1.fasta
ME-M-20	virus_refseq/ME-M-20.fasta
ME-M-2	virus_refseq/ME-M-2.fasta
ME-M-3	virus_refseq/ME-M-3.fasta
ME-M-4	virus_refseq/ME-M-4.fasta
ME-M-6	virus_refseq/ME-M-6.fasta
ME-M-7	virus_refseq/ME-M-7.fasta
ME-M-8	virus_refseq/ME-M-8.fasta
Myrtle-D11	virus_refseq/Myrtle-D11.fasta
Myrtle-D5	virus_refseq/Myrtle-D5.fasta
Myrtle-E9	virus_refseq/Myrtle-E9.fasta
OH-M-5	virus_refseq/OH-M-5.fasta
Peach-10-F10	virus_refseq/Peach-10-F10.fasta
Peach-13-H7	virus_refseq/Peach-13-H7.fasta
Peach-8-F7	virus_refseq/Peach-8-F7.fasta
Peach-9-F8	virus_refseq/Peach-9-F8.fasta
Penn-F-12	virus_refseq/Penn-F-12.fasta
Penn-F-1	virus_refseq/Penn-F-1.fasta
Penn-F-2	virus_refseq/Penn-F-2.fasta
Penn-F-3	virus_refseq/Penn-F-3.fasta
Penn-F-4	virus_refseq/Penn-F-4.fasta
Penn-F-6	virus_refseq/Penn-F-6.fasta
Penn-F-9	virus_refseq/Penn-F-9.fasta
Penn-M-10	virus_refseq/Penn-M-10.fasta
Penn-M-11	virus_refseq/Penn-M-11.fasta
Penn-M-14	virus_refseq/Penn-M-14.fasta
Penn-M-15	virus_refseq/Penn-M-15.fasta
Penn-M-2	virus_refseq/Penn-M-2.fasta
Penn-M-8	virus_refseq/Penn-M-8.fasta
sim-20-TD-4	virus_refseq/sim-20-TD-4.fasta
